bm,bzw,zs,gxsj
b_per_yfsyhbzxsdcyryzbcjrw,Y市烟花爆竹销售点从业人员坐标采集任务,382,22:07.8
b_per_yfsshjsdryzbcjrw,Y市涉黄及涉赌人员坐标采集任务,1239,22:07.8
b_per_czwzdryjzxxhc,出租屋重点人员居住信息核查,27,22:07.8
b_per_ntdcjhfjwszzdgjry,拟偷渡出境或赴境外涉诈重点国家人员,1,22:07.8
b_per_wslrjszahzksydyjhc,外省流入精神障碍患者跨市异动预警核查,0,22:07.8
b_org_lgsaryrzdjhc,旅馆涉案人员入住登记核查,54,22:07.8
b_per_yfblqxwcnrcj,Y不良倾向未成年人采集,1809,22:07.8
b_item_dgfxleddzxsp,东莞风险LED电子显示屏,0,22:07.8
b_per_yfsjszahzzfzxrw,Y市精神障碍患者走访（专项任务）,1226,22:07.8
b_per_yfsdchdlgmszqyryhcrw,Y市多次或大量购买散装汽油人员核查任务,79,22:07.8
b_item_yfsgmsqbwpxshc,Y市购买涉枪爆物品线索核查,10,22:07.8
b_per_yftyxfrydtgk,YTY信访人员动态管控,47,22:07.8
b_org_saczwhc,涉案出租屋核查,98,22:07.8
b_per_ptrygmszyhc,普通人员购买散装油核查,23487,22:07.8
b_per_yfblqxwcnrcjzfqk,Y不良倾向未成年人采集走访情况,1059,22:07.8
b_loc_zsfxysaddg,走私风险易上岸点（DG）,0,22:07.8
b_org_yfsshdxshc,Y市涉黄赌线索核查,3,22:07.8
b_org_yfssjhczxrw,Y市数据核查专项任务,68,22:07.8
b_org_yfscshcrw,Y市场所核查任务,3,22:07.8
b_per_wslrsjysyzjszahzhc,外省流入三级以上严重精神障碍患者核查,7,22:07.8
b_loc_sacshc,涉案场所核查,142,22:07.8
b_per_yzjszahzsjhmcj,严重精神障碍患者手机号码采集,759,22:07.8
b_item_stsqbwphc,省厅涉枪爆物品核查,0,22:07.8
b_per_yfsgwlkhcrw,Y市国外旅客核查任务,11,22:07.8
b_org_yfsjyzsmszqydjhcrw,Y市加油站售卖散装汽油登记核查任务,27,22:07.8
b_per_jszahzskrygl,精神障碍患者-失控人员管理,0,22:07.8
b_per_jszahzxgrygl,精神障碍患者-协管人员管理,0,22:07.8
b_per_zdgzryhczxrw,重点关注人员核查专项任务,12,22:07.8
b_org_jdcxlfjdhs_cyry,（Y）机修业从业人员信息,624,22:07.8
b_org_jdcxlfjdhs_jcxx,机动车修理业检查信息,928,22:07.8
b_org_jdcxlfjdhs_hsyjcxx,报废机动车回收业检查信息,52,22:07.8
b_org_jdcxlfjdhs_flzrgz,法律责任告知,1176,22:07.8
b_per_yfblqxwcnrcj_xwqk,行为情况,1126,22:07.8
b_per_yfblqxwcnrcj_jhrxx,监护人信息,3685,22:07.8
b_per_yfblqxwcnrcj_asjqk,案（事）件情况,2181,22:07.8
b_per_yfblqxwcnrcj_cqjzjyqk,采取矫治教育情况,18,22:07.8
b_per_yfblqxwcnrcj_zmjyqk,专门教育情况,42,22:07.8
b_org_qfqzzzjdjc,群防群治组织监督检查,0,22:07.8
b_loc_fzfxzgz_xxtgqkdjb,学校提供情况登记本,50,22:07.8
b_loc_fzfxzgz_kzflfghaqffzsdxcjygzrz,开展法律法规和安全防范知识的宣传教育工作日志,1854,22:07.8
b_loc_fzfxzgz_wcnrlr,未成年人录入,106,22:07.8
b_loc_fzfxzgz_sshzzdssjycjqkdjb,实施或者指导实施教育惩戒情况登记本,61,22:07.8
b_per_fzxxlxxshf_hfdjb,回访登记表,2225,22:07.8
b_org_fjjssgy_cyryxxb,从业人员信息表,630,22:07.8
b_org_fjjssgy_csjcxx,废旧金属收购业-场所检查信息,1596,22:07.8
b_org_fjjssgy_flzrgz,法律责任告知,1176,22:07.8
b_per_dcbjryhfrw,多次报警核查,2,22:07.8
b_evt_ssfldjfjqhf,涉山坟林地纠纷警情回访,52,22:07.8
b_per_tyhczld,涉山坟林地纠纷警情回访,0,22:07.8
b_per_cjqjdfxryzfrw,春节期间低风险人员走访任务,15,22:07.8
b_per_cjqjzfxryzfrw,春节期间中风险人员走访任务,4,22:07.8
b_per_xmsfryhcrw,刑满释放人员核查任务,111,22:07.8
b_per_2025zashdztryqfgzkzqk,2025年治安涉黄赌追逃人员劝返工作开展情况,26,22:07.8
b_per_dqqkrysmqdjyzxrw,盗窃前科人员上门敲打教育专项任务,23,22:07.8
b_item_sqbxshcgz,涉枪爆线索核查（GZ）,0,22:07.8
b_per_jszahzglld,精神障碍患者-规律流动,0,22:07.8
b_per_yzjszahzrczf,严重精神障碍患者日常走访,12868,22:07.8
b_org_cwngcszfyjczqscsjcxx,藏污纳垢场所走访与检查桌球室场所检查信息,74,22:07.8
b_per_yfswffzqkryzfzxrw,Y市违法犯罪前科人员走访专项任务,939,22:07.8
b_org_qsyljgzbcj,全市医疗机构坐标采集,101,22:07.8
b_org_yfslgydjrzhcrw,Y市旅馆业登记入住核查任务,52,22:07.8
b_org_yfsczwxc,Y市出租屋巡查,637,22:07.8
b_org_gabdbzzwcnrjxwfzaglhdajhcrw,公安部督办组织未成年人进行违反治安管理活动案件核查任务,0,22:07.8
b_per_bsngyzjszahzldhc,本省纳管严重精神障碍患者流动核查,65,22:07.8
b_per_yzblxwwcnrhc,严重不良行为未成年人核查,3109,22:07.8
b_per_sbqkryhc,涉爆前科人员核查,294,22:07.8
b_per_qsgajgxyzaxcxfdecjztyxdsdapphc,全市公安机关夏夜治安巡查宣防第二次集中统一行动（涉赌APP核查）,45,22:07.8
b_org_xshcrw,线索核查任务,4,22:07.8
b_org_yfsczwxcrw,Y市出租屋巡查任务,58,22:07.8
b_per_yfsxmsfryzbcjrw,Y市刑满释放人员坐标采集任务,1629,22:07.8
b_loc_sxggqy,涉险公共区域,0,22:07.8
b_per_wslrjszahzhc,外省流入精神障碍患者核查,1,22:07.8
b_evt_yfsyjdjdojqzxrw,Y市压降打架斗殴警情专项任务,61,22:07.8
b_per_bdzzqlryrczf,剥夺政治权利人员日常走访,168,22:07.8
b_per_yfs02jjzhzhcrw,Y市0-2级精障患者核查任务,221,22:07.8
b_per_yfszbcjzxrw,Y市坐标采集专项任务,993,22:07.8
b_org_yfssdcsxlhcrw,Y市涉赌场所巡逻核查任务,25,22:07.8
b_per_yfsdqqkryzbcjrw,Y市盗窃前科人员坐标采集任务,1511,22:07.8
b_org_cwngcszfyjczqscyryxx,藏污纳垢场所走访与检查桌球室从业人员信息,119,22:07.8
b_org_gabdbwlswbxgdlajhcrw,公安部督办未落实“五必须”规定类案件核查任务,0,22:07.8
b_org_cwngcszfyjcwtyhjs,藏污纳垢场所走访与检查问题隐患简述,0,22:07.8
b_org_cwngcszfyjccsjcxx,藏污纳垢场所走访与检查场所检查信息,22,22:07.8
b_org_ysldwslsxzscsxxhs,疑似漏登网上临时性住宿场所信息核实,0,22:07.8
b_evt_yfstydhdcbjhcrw,Y市同一电话多次报警核查任务,6,22:07.8
b_org_yfsxjzadjzzgjzxxdgwyl,Y市夏季治安打击整治攻坚专项行动（歌舞娱乐）,80,22:07.8
b_org_yfsxjzadjzzjzgjzxxdlyjq,Y市夏季治安打击整治集中攻坚专项行动（旅游景区）,15,22:07.8
b_evt_yfszfbjsdjqqcrw,Y市重复报警涉赌警情清查任务,28,22:07.8
b_evt_yfsjnyldcbjscsjqhcrw,Y市今年以来多次报警涉场所警情核查任务,7,22:07.8
b_org_sjwxessjsgxy,手机维修、二手手机收购行业,9,22:07.8
b_org_yfssalghc,Y市涉案旅馆核查,123,22:07.8
b_evt_szfxphc,涉政反宣品核查,0,22:07.8
b_org_yfssaczwhc,Y市涉案出租屋核查,89,22:07.8
b_org_yfssacshc,Y市涉案场所核查,2,22:07.8
b_org_qsgajgxyzaxcxfdecjztyxddjdoqkryjj,全市公安机关夏夜治安巡查宣防第二次集中统一行动（打架斗殴前科人员聚集）,8,22:07.8
b_org_qsgajgxyzaxcxfdecjztyxdccgdshcs,全市公安机关夏夜治安巡查宣防第二次集中统一行动（查处过的涉黄场所）,20,22:07.8
b_org_qsgajgxyzaxcxfdecjztyxdqps,全市公安机关夏夜治安巡查宣防第二次集中统一行动（棋牌室）,19,22:07.8
b_org_qsgajgxyzaxcxfdecjztyxdbdcjbdshcsjzdbw,全市公安机关夏夜治安巡查宣防第二次集中统一行动（被多次举报的涉黄场所及重点部位）,8,22:07.8
b_org_yfsnxwcnrycpshcrw,Y市女性未成年人有偿陪侍核查任务,3,22:07.8
b_org_yfslgyqdjdwcnrcnsrw,Y市旅馆业签订接待未成年人承诺书任务,428,22:07.8
b_org_lgcyrysy3rxxhc,旅馆从业人员少于3人信息核查,70,22:07.8
b_org_amfwcscyrysmxsyfjshcrw,按摩服务场所从业人员数明显少于房间数核查任务,59,22:07.8
b_org_yfsylcsxxhc,Y市娱乐场所信息核查,71,22:07.8
b_org_lgysjwscqkhc,旅馆业数据未上传情况核查,82,22:07.8
b_org_yfsgajgxjzadjzzjzgjzxxdammz,Y市公安机关夏季治安打击整治集中攻坚专项行动（按摩沐足）,53,22:07.8
b_evt_szmgsthdhc,涉政敏感渗透活动核查,0,22:07.8
b_org_yfsgajgxjzadjzzjzgjzxxdjdly,Y市公安机关夏季治安打击整治集中攻坚专项行动（酒店旅业）,145,22:07.8
b_evt_mdjfpchjgzjcfxwtyh,矛盾纠纷排查化解工作检查发现问题隐患,362,22:07.8
b_per_yfsngjszahzwchcrw,Y市纳管精神障碍患者外出核查任务,9,22:07.8
b_per_jzhzldhcrw,精障患者落地核查任务,0,22:07.8
b_per_jzhzgmszqyhcrw,精障患者购买散装汽油核查任务,58,22:07.8
b_per_yfssjysjzhzjsjdchcrw,Y市三级以上精障患者驾驶机动车核查任务,7,22:07.8
b_per_yfssasjwcnrhfzxrwx,Y市涉案事件未成年人回访专项任务（新）,5141,22:07.8
b_per_yfssasjwcnrhfzxrw,Y市涉案事件未成年人回访专项任务,336,22:07.8
b_per_yfswcnrwffzyjxssmzfrw,Y市未成年人违法犯罪预警线索上门走访任务,1,22:07.8
b_per_yfsryzbcjrw,Y市人员坐标采集任务,2809,22:07.8
b_org_cwngcszfyjcsdcsjcxx,藏污纳垢场所走访与检查涉赌场所检查信息,154,22:07.8
b_evt_fxtbqk,风险通报情况,282,22:07.8
b_org_cwngcszfyjcczwcsjcxx,藏污纳垢场所走访与检查出租屋场所检查信息,0,22:07.8
b_loc_sgsxggqyfxyhpc,韶关涉险公共区域风险隐患排查,0,22:07.8
b_org_jzdjxxhc,居住登记信息核查,0,22:07.8
b_org_czwyhpcsg,出租屋隐患排查（SG）,0,22:07.8
b_org_szrzczwhcdg,时租日租出租屋核查（DG）,0,22:07.8
b_org_dgkyczwpc,东莞可疑出租屋排查,0,22:07.8
b_org_dgwtczwpc,东莞问题出租屋排查,0,22:07.8
b_item_zdxycsrxzpsbxxcjrw,重点行业场所人像抓拍设备信息采集任务,606,22:07.8
b_item_zdxycsrxzpsbxxcj,重点行业场所人像抓拍设备信息采集,416,22:07.8
b_org_xycsamfwcszajcrw,【行业场所】按摩服务场所治安检查任务,0,22:07.8
b_org_xycsylyzajcrw,【行业场所】娱乐业治安检查任务,0,22:07.8
b_org_zdjwfzfzzhc,重点境外非政府组织核查,0,22:07.8
b_org_ggylfwcshc,公共娱乐服务场所核查,0,22:07.8
b_org_amfwcshc,按摩服务场所核查,0,22:07.8
b_org_zacsxxmpgz,治安场所信息摸排（GZ）,0,22:07.8
b_org_cmjmwyhrcxfjcdg,村民、居民委员会日常消防检查（DG）,0,22:07.8
b_org_wyfwqyrcxfjcdg,物业服务企业日常消防检查（DG）,0,22:07.8
b_org_tzxyylfwcsrcxfjcdg,特种行业娱乐服务场所日常消防检查（DG）,0,22:07.8
b_org_dgyycs,东莞游艺场所,0,22:07.8
b_org_dgamfwcs,东莞按摩服务场所,0,22:07.8
b_org_dggwcs,东莞歌舞场所,0,22:07.8
b_org_fxxycshc,风险行业场所核查,0,22:07.8
b_org_lscsyascstdbajzl,旅宿场所“一案双查”省厅督办案件指令,0,22:07.8
b_org_sdjqcshcgz,涉赌警情场所核查（GZ）,0,22:07.8
b_org_xycsjxy,行业场所-机修业,0,22:07.8
b_org_dgjxycs,东莞机修业场所,0,22:07.8
b_org_stdbswcnrzdxycsyascrw,省厅督办涉未成年人重点行业场所一案双查任务,62,22:07.8
b_org_xycslgy,行业场所-旅馆业,0,22:07.8
b_org_dgxycslgy,东莞行业场所（旅馆业）,0,22:07.8
b_org_sjgajczgdjqwpbb,省际公安检查站高等级勤务排班表,4,22:07.8
b_org_csgjhdlkyqypcqk,城市公交和道路客运企业排查情况,11,22:07.8
b_org_dlkyzcpcqk,道路客运站场排查情况,15,22:07.8
b_loc_dgggjtsszdpc,东莞公共交通设施站点排查,0,22:07.8
b_loc_ztkyzcyhpczz,长途客运站场隐患排查整治,0,22:07.8
b_loc_scjtlhdtzcyhpczz,省城际铁路和地铁站场隐患排查整治,0,22:07.8
b_org_swfx,涉稳风险,0,22:07.8
b_loc_dgsxggqyfxns,东莞涉险公共区域（风险溺水）,0,22:07.8
b_org_xjzzhc,邪教组织核查,0,22:07.8
b_loc_jyzbjycspc,金银珠宝经营场所排查,66,22:07.8
b_loc_yyfxhc,医院风险核查,0,22:07.8
b_per_sfwgrhc,“三非”外国人核查,0,22:07.8
b_per_bgpfnet,被拐骗妇女儿童,0,22:07.8
b_org_cwngcszfyjcczryjbxx,藏污纳垢场所走访与检查承租人员基本信息,0,22:07.8
b_per_knqwdzsnjgzsrypc,可能前往党政首脑机关滋事人员排查,36,22:07.8
b_per_yybfshtrryhsrw,扬言报复社会(他人)人员核实任务,3,22:07.8
b_per_zddxsjdgmszyhc,重点对象（涉极端）购买散装油核查,10,22:07.8
b_per_ztrygmszyhc,在逃人员购买散装油核查,3,22:07.8
b_per_gzrygmszyhcx,关注人员购买散装油核查（新）,1046,22:07.8
b_per_ptrygmszyhcx,普通人员购买散装油核查（新）,183603,22:07.8
b_per_llqtryfxsjysyzjszahzqkhc,流浪乞讨人员发现三级以上严重精神障碍患者情况核查,0,22:07.8
b_per_llqtryfxqkryqkhc,流浪乞讨人员发现前科人员情况核查,0,22:07.8
b_per_scjrqtxxcj,涉残疾人群体信息采集,0,22:07.8
b_per_fzrhxc,反诈入户宣传,0,22:07.8
b_per_gwydzspryjzhczlgz,高危易电诈受骗人员精准核查指令（GZ）,0,22:07.8
b_per_sqqkryhc,涉枪前科人员核查,154,22:07.8
b_per_stsfzdry,涉退涉访重点人员,0,22:07.8
b_per_gzrygmszqyhczj,关注人员购买散装汽油核查（ZJ）,0,22:07.8
b_per_shlxmsfryldhcrw,涉黄类刑满释放人员落地核查任务,121,22:07.8
b_per_sdlxmsfryldhc4yzfrw,涉赌类刑满释放人员落地核查4月走访任务,557,22:07.8
b_per_xmsfbz5nryfxmpfxhjqk,刑满释放不足5年人员风险摸排风险化解情况,0,22:07.8
b_per_wffzqkry,违法犯罪前科人员,0,22:07.8
b_per_xmsfryhcgz,刑满释放人员核查（GZ）,0,22:07.8
b_per_xmsflgym5nwcgqkhcgz,刑满释放列管已满5年未撤管情况核查（GZ）,0,22:07.8
b_per_xdryxxwhqkhc,吸毒人员信息维护情况核查,1162,22:07.8
b_per_yzblqxwcnr,严重不良倾向未成年人,0,22:07.8
b_per_wj02jyzjszahzzfrw,卫健0-2级严重精神障碍患者走访任务,240,22:07.8
b_per_yzjszahzrczf2yzf,严重精神障碍患者日常走访（2月走访）,1143,22:07.8
b_per_yzjszahzsjhmhc,严重精神障碍患者手机号码核查,232,22:07.8
b_per_sjysyzjszahzwshbdfxhjqk,三级以上严重精神障碍患者（外省和本地）风险化解情况,0,22:07.8
b_per_bdjszahzhc,本地精神障碍患者核查,0,22:07.8
b_per_bdgk35jyzjszahzfxmp,本地管控3-5级严重精神障碍患者风险摸排,0,22:07.8
b_per_ysjsbrhcgz,疑似精神病人核查（GZ）,0,22:07.8
b_per_scsjfxryxxcj,“三车”司机风险人员信息采集,17,22:07.8
b_per_scsjfxrykzldhc,“三车”司机风险人员开展落地核查,0,22:07.8
b_evt_wssaqxkddxqzxhdhqzzfxjjhdfh,未实施安全许可的大型群众性活动和群众自发性聚集活动复核,0,22:07.8
b_item_hfwrjhc,黑飞无人机核查,0,22:07.8
b_loc_qsxtjddzsqwbsb,全省巡特警定点值守勤务部署表,12,22:07.8
b_loc_qsyjzacjdqwbsb,全省夜间治安查缉点勤务部署表,3,22:07.8
b_org_yfsqpldcs,易发生强迫劳动场所,0,22:07.8
b_loc_cg1gyyswyszqyxsdyzhc,超过1个月以上未有散装汽油销售的油站核查,38,22:07.8
b_loc_szyxssmdjxjbfzwsysyzhc,散装油销售实名登记下降百分之五十以上油站核查,325,22:07.8
b_loc_xygfqwspxcfxwtzghc,校园高峰勤务视频巡查发现问题整改核查,3,22:07.8
b_loc_ggcsaqfxddzfxwtcczg,公共场所安全风险督导组发现问题抽查整改,2,22:07.8
b_loc_rymjcsdcwtzg,人员密集场所督察问题整改,0,22:07.8
b_per_sqbxmsfryhc,涉枪爆刑满释放人员核查,125,22:07.8
b_per_ldxdjcfxwtyhzg,落地行动检查发现问题隐患整改,139,22:07.8
b_loc_rymjcsddzfxwtyhzgcj,人员密集场所督导组发现问题隐患整改采集,155,22:07.8
b_loc_xyfxhc,校园风险核查,0,22:07.8
b_evt_yzjszahzfxtsxxcj,严重精神障碍患者风险提示信息采集,757,22:07.8
b_zdry_blwcngl,不良未成年管理表-特定人员,2816,22:07.8
b_per_yfsjszahzzqzfjzbcjrw,Y市精神障碍患者周期走访及坐标采集任务,1109,22:07.8
b_evt_zfbjmdjfhjqkhc,重复报警矛盾纠纷化解情况核查,184,22:07.8
b_item_qbwpdwjc,枪爆物品单位检查,0,22:07.8
b_org_fwxxhc,房屋信息核查,0,22:07.8
b_org_wtdjxssyzzdwjcdg,问题刀具销售、使用、制造单位检查（DG）,0,22:07.8
b_item_gzdjdwjc,管制刀具单位检查,0,22:07.8
b_org_xycsczwtcsccqkzlfk,行业场所（存在问题场所查处情况指令反馈）,0,22:07.8
b_org_lyzsdjsrsmhcrw,旅业住宿登记实人实名核查任务,19,22:07.8
b_org_jdwlxydwjc,寄递物流行业单位检查,0,22:07.8
b_loc_czaqyhdjtzczxhc,存在安全隐患的交通站场专项核查,0,22:07.8
b_loc_xyaqyhhc,校园安全隐患核查,0,22:07.8
b_org_zdnbdwfxhcsg,重点内保单位风险核查（SG）,0,22:07.8
b_per_fkfkdl2025clryhc,反恐防恐“断流2025”C类人员核查,85,22:07.8
b_per_fkfkdl2025blryhc,反恐防恐“断流2025”B类人员核查,92,22:07.8
b_per_fkfkdl2025alryhc,反恐防恐“断流2025”A类人员核查,128,22:07.8
b_per_mdjffxrysczf,矛盾纠纷风险人员首次走访,223,22:07.8
b_per_grjdqzfxry,个人极端潜在风险人员,0,22:07.8
b_per_gzgrjdqzfxhc,广州个人极端潜在风险核查,0,22:07.8
s_sg_org,组织机构,31528,22:07.8
b_per_gmszyrybmdcj,购买散装油人员白名单采集,1901,22:07.8
b_per_zljwryrj,滞留境外人员入境,0,22:07.8
b_per_smdjflxmsfryldhcrw3y,涉矛盾纠纷类刑满释放人员落地核查任务（3月）,411,22:07.8
b_per_xmsfzhpgrw,刑满释放综合评估任务,0,22:07.8
b_per_dqqkrygpldxshc,盗抢前科人员高频流动线索核查,0,22:07.8
b_loc_qs135fzksfyq,全省“1、3、5分钟”快速反应圈,27,22:07.8
b_loc_rymjjjcszxyhc,人员密集聚集场所（中小幼）核查,1248,22:07.8
b_org_cwngcszfyjcasjqk,藏污纳垢场所走访与检查案事件情况,1,22:07.8
b_org_cwngcszfyjccfjl,藏污纳垢场所走访与检查处罚记录,1,22:07.8
b_org_fjjssgy_cfjl,废旧金属收购业_处罚记录,0,22:07.8
b_per_gzrysqbqk,关注人员涉枪爆情况,4,22:07.8
b_org_csgjhdlkyqypcqkyhpczfjl,城市公交和道路客运企业排查情况隐患排查走访记录,13,22:07.8
b_loc_jyzbjycsyhpcjl,金银珠宝经营场所隐患排查记录,48,22:07.8
b_item_leddzxspcjzfjl,LED电子显示屏采集走访记录,2330,22:07.8
b_item_zdxycsrxzpsbxxcjsbxx,重点行业场所人像抓拍设备信息采集设备信息,428,22:07.8
b_per_gzrymqryqk,关注人员密切人员情况,465,22:07.8
b_per_yzjszahzrczfqtgx,严重精神障碍患者日常走访其他关系,642,22:07.8
b_per_gzryjfsjqk,关注人员纠纷事件情况,56,22:07.8
b_org_xycsrysc,行业场所人员审查,0,22:07.8
b_org_gdjqwpbxx,高等级勤务排班信息,1181,22:07.8
b_perqdjwdjrzryxx,请登记未登记入住人员信息,96,22:07.8
b_org_dlkyzcpcqkyhpczfjl,道路客运站场排查情况隐患排查走访记录,42,22:07.8
b_per_yzblxwwcnrcjqtmqgxr,严重不良行为未成年人采集其他密切关系人,9,22:07.8
b_per_zfbjmdjfhjqkhcdsrxx,重复报警矛盾纠纷化解情况核查当事人信息,12,22:07.8
b_per_zfbjmdjfhjqkhcmdjfdsrxx,重复报警矛盾纠纷化解情况核查矛盾纠纷当事人信息,481,22:07.8
b_loc_xtjddzsqwbssgsjd,巡特警定点值守勤务部署_上岗时间段,0,22:07.8
b_loc_yjzacjdqwbssgsjd,夜间治安查缉点勤务部署_上岗时间段,0,22:07.8
b_loc_rymjcsddzfxwtyhzgcjzgcsjl,人员密集场所督导组发现问题隐患整改采集整改措施记录,164,22:07.8
b_loc_rymjcsddzfxwtyhzgcjstccqkb,人员密集场所督导组发现问题隐患整改采集省厅抽查情况表,0,22:07.8
b_loc_rymjjjcszxycjxxzycrk,人员密集聚集场所（中小幼）采集学校主要出入口,628,22:07.8
b_loc_rymjjjcszxycjzgqk,人员密集聚集场所（中小幼）采集整改情况,361,22:07.8
b_loc_rymjjjcszxycjzxyabllzgqk,人员密集聚集场所（中小幼）采集中小幼安保力量整改情况,92,22:07.8
b_loc_rymjjjcszxycjzxyzxyjdyzgqk,人员密集聚集场所（中小幼）采集中小幼最小应急单元整改情况,103,22:07.8
b_loc_rymjjjcszxycjzxyspjkzgqk,人员密集聚集场所（中小幼）采集中小幼视频监控整改情况,86,22:07.8
b_loc_rymjjjcszxycjzxyhtkjl,人员密集聚集场所（中小幼）采集中小幼_回头看记录,1941,22:07.8
b_loc_rymjggqycjhtkjl,人员密集公共区域采集回头看记录,245,22:07.8
b_loc_rymjggqycjfczsszgqk,人员密集公共区域采集防冲撞设施整改情况,185,22:07.8
b_loc_rymjggqycjabllzgqk,人员密集公共区域采集安保力量整改情况,38,22:07.8
b_loc_rymjggqycjzxyjdyzgqk,人员密集公共区域采集最小应急单元整改情况,25,22:07.8
b_loc_rymjggqycjspjkzgqk,人员密集公共区域采集视频监控整改情况,30,22:07.8
b_per_fkfkrydahcrz,反恐防恐人员档案核查日志,32,22:07.8
b_item_scjrqtxxcjclxx,涉残疾人群体信息采集车辆信息,0,22:07.8
b_per_scjrqtxxcjqtcyxx,涉残疾人群体信息采集群体成员信息,0,22:07.8
b_per_scsjfxryxxcjwlsf,“三车”司机风险人员信息采集网络身份,0,22:07.8
b_evt_scsjfxryxxcjwsxw,“三车”司机风险人员信息采集网上行为,0,22:07.8
b_per_scsjfxryxxcjggltlry,“三车”司机风险人员信息采集高关联同类人员,0,22:07.8
b_per_scsjfxryxxcjgtltlry,“三车”司机风险人员信息采集高通联同类人员,0,22:07.8
b_per_scsjfxryxxcjsqxx,“三车”司机风险人员信息采集诉求信息,0,22:07.8
b_evt_xfjdjcwyfwqyxfjdjc,消防监督检查物业服务企业消防监督检查,294,22:07.8
b_org_xfjdjccjmwyh,消防监督检查村居民委员会,1696,22:07.8
b_evt_xfjdjcxfjdjcxx,消防监督检查消防监督检查信息,13905,22:07.8
b_per_fkfkdl2025rydacj,反恐防恐“断流2025”人员档案采集,33,22:07.8
b_per_gzry,关注人员,2296,22:07.8
b_per_yfblqxwcnrcjbzhbczjjl,Y不良倾向未成年人采集被抓获飙车炸街记录,442,22:07.8
b_zdry_rwzx_fkjg,任务中心反馈结果表,3465561,22:07.8
b_evt_jzlzzgkzxdhcxs,"	警种流转至管控中心待核处线索",602,22:07.8
b_org_ylfwcs,娱乐服务场所,420,22:07.8
b_item_ylfwcsdzyxjxx,娱乐服务场所电子游戏机信息,3,22:07.8
b_per_ylfwcscyryxx,娱乐服务场所从业人员信息,1460,22:07.8
b_org_ylfwcsylcsjc,娱乐服务场所娱乐场所检查,1213,22:07.8
b_org_ylfwcsamfwcsjc,娱乐服务场所按摩服务场所检查,1917,22:07.8
b_dic_zzjgdm,全市派出所代码,68,22:07.8
b_evt_xwbx,行为表现,788,22:07.8
b_per_xyysxsqljqxs,校园-疑似学生欺凌警情/线索,4,22:07.8
b_evt_xycsjgamfwcszgjc,【行业场所监管】按摩服务场所整改检查,3,22:07.8
b_per_gmszyrybmdcjpgjl,购买散装油人员白名单采集评估记录,685,22:07.8
b_evt_wchdqk,外出活动情况,7,22:07.8
b_per_gzrygzrz,关注人员工作日志,2519,22:07.8
b_evt_zafzgzqybwzabwzd,治安复杂关注区域（部位）治安保卫制度,4,22:07.8
b_evt_zafzgzqybwzabwgzzrz,治安复杂关注区域（部位）治安保卫工作责任制,3,22:07.8
b_evt_zafzgzqybwzabwry,治安复杂关注区域（部位）治安保卫人员,2,22:07.8
b_evt_zafzgzqybwzabwcs,治安复杂关注区域（部位）治安保卫措施,1,22:07.8
b_evt_zafzgzqybwssdjssyhwhqk,治安复杂关注区域（部位）设施的建设、使用和维护情况,0,22:07.8
b_evt_zafzgzqybwzabwryyflxzz,治安复杂关注区域（部位）治安保卫人员依法履行职责,0,22:07.8
